番号,俳句,季語,季節
1,隅田の秋都へはこふおきな哉,秋,秋
2,骸骨を見つけたくれや秋のたひ,秋,秋
3,兀然と秋に立つたり山の寺,秋,秋
4,風たけを秋と思へはましらかな,秋,秋
5,これ見たか秋に追はるゝうしろ影,秋,秋
6,瀧湧くや秋のはらわたちきれけん,秋,秋
7,ふつくりと七面鳥のたつや秋,秋,秋
8,松山や秋より高き天主閣,秋,秋
9,山こえていさ見にゆかんあきの秋,秋,秋
10,われきくに秋をつき出すたきの音,秋,秋
11,秋しらぬ旅や同行五十人,秋,秋
12,秋にさく心強さよ鬼あざみ,秋,秋
13,遊女一人ふえぬ日はなし京の秋,秋,秋
14,面白や秋のにしきをほとゝぎす,秋,秋
15,親にあふて一日秋を忘れけり,秋,秋
16,傘持は秋ともしらす揚屋入,秋,秋
17,酒のんで一日秋をわすれけり,秋,秋
18,七年の秋を達磨に尋ねはや,秋,秋
19,順禮に追ひこされけり秋の旅,秋,秋
20,半分は夜に入る秋の旅路哉,秋,秋
21,人の目の秋にうつるや嵐山,秋,秋
22,秋に痩せて恨みの筆のあと細し,秋,秋
23,江戸の秋に四國の夏の届きけり,秋,秋
24,象潟や秋はるはると帆掛船,秋,秋
25,しひられて餅くらひけりけふの秋,秋,秋
26,花一つなき野に鴫の秋深し,秋,秋
27,姫小松これにも秋を見せにけり,秋,秋
28,みちのくの秋ふりすてゝ歸り行,秋,秋
29,みちのくの秋ふりすてゝ歸り候,秋,秋
30,みちのくを出てにぎはしや江戸の秋,秋,秋
31,秋荒れて血の波さわぐ巖かな,秋,秋
32,秋凄し大きな星の空に飛ぶ,秋,秋
33,此秋に堪へでや人の身まかりぬ,秋,秋
34,何蒔くと秋の畠を一人打つ,秋,秋
35,人の秋こそ堪へられぬ鈴が森,秋,秋
36,人の秋こそ堪へられね鈴か森,秋,秋
37,晝顏や秋をものうき花の形,秋,秋
38,貧村の秋の山吹花咲きぬ,秋,秋
39,松杉や妙法の山に秋もなし,秋,秋
40,武藏野をいくつに分けて床の秋,秋,秋
41,秋三月馬鹿を盡して別れけり,秋,秋
42,うつくしき菓子贈られし須磨の秋,秋,秋
43,うつくしき菓子おくられぬすまの秋,秋,秋
44,汽船過ぎて波よる秋の小島かな,秋,秋
45,來て見れば風が吹くなり須磨の秋,秋,秋
46,雲やどる秋の山寺灯ともれり,秋,秋
47,くわらくわらと何に火を焚く秋の村,秋,秋
48,さては秋名所の風を引いたげな,秋,秋
49,三條小橋柳秋なり人稀なり,秋,秋
50,七月十三日てんかと書きし人も秋,秋,秋
51,禪寺やさぼてん青き庭の秋,秋,秋
52,旅人の盗人に逢ひぬ須磨の秋,秋,秋
53,旅人や寒がりに來る奈良の秋,秋,秋
54,奈良淋し萬葉の秋を見付けたり,秋,秋
55,奈良の秋の唐招提寺西大寺,秋,秋
56,西東山にかたよる奈良の秋,秋,秋
57,鈍くなりて猶憎き秋の毛蟲哉,秋,秋
58,花細し秋にわづらふ野撫子,秋,秋
59,花痩せぬ秋にわづらふ野撫子,秋,秋
60,人去つてすがすがしさよ須磨の秋,秋,秋
61,人もなし杉谷町の藪の秋,秋,秋
62,故郷の淋しき秋を忘るゝな,秋,秋
63,古里や秋に痩せたる小傾城,秋,秋
64,湖の細り細りて瀬田の秋,秋,秋
65,めづらしや僧來て秋の運坐哉,秋,秋
66,山遠く湖はるかなり三井の秋,秋,秋
67,病起杖に倚れば千山萬嶽の秋,秋,秋
68,山本や寺は黄蘗杉は秋,秋,秋
69,槍持やひとりおくれて橋の杖,秋,秋
70,行く我にとゞまる汝に秋二つ,秋,秋
71,夕榮や漁村の秋の靜かなり,秋,秋
72,碌堂といひける秋の男かな,秋,秋
73,画をかきし僧今あらず寺の秋,秋,秋
74,秋吹くや鬚と拂子と天蓋と,秋,秋
75,いのちありて今年の秋も涙かな,秋,秋
76,詩人會す上野の秋の三宜亭,秋,秋
77,白き馬にめしたるとのご見えず秋,秋,秋
78,すがすがとして唯一の宮の秋,秋,秋
79,はらはらと動くや秋の根笹原,秋,秋
80,一里の秋の靜かにして灯少し,秋,秋
81,ひとへ物松島の秋に驚くな,秋,秋
82,古郷の秋の白魚御覧ぜよ,秋,秋
83,枕にす俳句分類の秋の集,秋,秋
84,都かな悲しき秋を大水見,秋,秋
85,物もなしわれに秋さへなかりけり,秋,秋
86,われ宗祗に似たらん秋の旅寐哉,秋,秋
87,瘧落ちてひとり拂子に對す秋,秋,秋
88,芝の秋の鐘か聞えて淋しかろ,秋,秋
89,須磨の秋金持らしき家見ゆる,秋,秋
90,蛸干して烏追ふ蜑や須磨の秋,秋,秋
91,秋昔三十年の團子店,秋,秋
92,家主が植ゑてくれたる松の秋,秋,秋
93,鵞ペンさすインキの壺や秋の薔薇,秋,秋
94,鵞ペン立てしインキの壺や秋の薔薇,秋,秋
95,汽車の窓に首出す人や瀬田の秋,秋,秋
96,僧の書あり瓶に活けたる秋の花,秋,秋
97,門閉ちて人起きて居る夜半の秋,秋,秋
98,病癒えて雲見る秋の端居哉,秋,秋
99,夜道して瘧ふるひ返す旅の秋,秋,秋
100,家主の植てくれたる松の秋,秋,秋
101,蛸干して鳥追蜑や須磨の秋,秋,秋
102,水海の秋の小魚を奉る,秋,秋
103,幾久しき秋の契りや堅魚節,秋,秋
104,家五百秋の芝居の太鼓鳴る,秋,秋
105,誰が家の戸叩く音ぞ夜半の秋,秋,秋
106,秋一室拂子ノ髯ノ動キケリ,秋,秋
107,秋モハヤ塩煎餅ニ澁茶哉,秋,秋
108,ウスモノヽ秋ニ勝ヘザル姿カナ,秋,秋
109,氷噛ンデ毛穴ニ秋ヲ覺エケリ,秋,秋
110,奈良漬ノ秋ヲ忘レヌ誠カナ,秋,秋
111,病間アリ秋ノ小庭ノ記ヲ作ル,秋,秋
112,此杣や秋を定めて一千年,秋,秋
113,けさりんと体のしまりや秋の立つ,立秋,秋
114,秋たつや雨晴れて出る月の冴,立秋,秋
115,秋たつや雨晴れに出る月の冴,立秋,秋
116,秋立つや納涼月見と化る舟,立秋,秋
117,秋立つや納涼の舟も月見ふね,立秋,秋
118,ひゝやりとすきまの風や秋のたつ,立秋,秋
119,秋たつや風のなき日を海の音,立秋,秋
120,鶴一つ立つたる秋の姿哉,立秋,秋
121,秋たつや鶉の聲の一二寸,立秋,秋
122,秋たつやけふより不二は庵の物,立秋,秋
123,秋立つや芒穂に出る蛇たまり,立秋,秋
124,あら駒の足落ちついて秋の立つ,立秋,秋
125,秋立つと知らずや人の水鏡,立秋,秋
126,秋立つや出羽商人のもやひ船,立秋,秋
127,衣骭に袖腕に秋の立ちにけり,立秋,秋
