ID,Haiku
1,春も早山吹白く苣苦し
2,山寺の春や仏に水仙花
3,門口に風呂たく春のとまりかな
4,雪の絵を春も掛けたる埃かな
5,起重機の手挙げて立てり海は春
6,娘にゆづる櫛笄や花の春
7,草の戸にひとり男や花の春
8,ジプシーに占はせをり窓の春
9,筆を噛んでいまだ書かざる妹の春
10,寝ごゝろやいづちともなく春は来ぬ
11,何事もなくて春たつあしたかな
12,春立つや愚の上に又愚にかへる
13,春立つや昼の灯くらき山社
14,さゞ波は立春の譜をひろげたり
15,オリヲンの真下春立つ雪の宿
16,春立つやそゞろ心の火桶抱く
17,立春の鳶しばしあり殿づくり
18,かかる夜の雨に春立つ谷明り
19,春が来て電柱の体鳴りこもる
20,元日の酔詫に来る二月かな
21,栴檀のほろ／＼落る二月かな
22,面体をつゝめど二月役者かな
23,切株に鶯とまる二月かな
24,川添ひの片頬つめたき二月かな
25,六十の寒が明けたる許りなり
26,寒明や野山の色の自ラ
27,寒明けの臥てあやす子は胸の上
28,寒明けの街や雄牛が声押し出す
29,寒明けやひたぶるに濃き唇の紅
30,枯れ枝に初春の雨の玉円か
31,初春の二時うつ島の旅館かな
32,早春の流水早し猫柳
33,早春や室内楽に枯木なほ
34,早春や吾も鴉もひそひそと
35,病床の匂袋や浅き春
36,春浅き水を渡るや鷺一つ
37,木より木にかよへる風の春浅き
38,罷出たものは物ぐさ太郎月
39,六日はや睦月は古りぬ雨と風
40,山国の年端月なる竃火かな
41,街路樹に旧正月の鸚鵡館
42,ふるさとや旧正月の雪籠り
43,道ばたに旧正月の人立てる
44,如月を縞の羽織の礼者かな
45,二月礼者見し綿虫のわづかかな
46,老夫婦の引き出だされし絵踏かな
47,絵踏して生きのこりたる女かな
48,初午や物種売に日の当る
49,初午や禰宜に化けたる庄屋殿
50,初午や世話人の来て打つ太鼓
51,初午の祠ともりぬ雨の中
52,初午や都の春もきのふけふ
53,昼月の淡島さまや針供養
54,色あせし針山まつるねもごろに
55,賃仕事ためて遊ぶや針供養
56,山焼やほのかにたてる一ツ鹿
57,山焼の茶屋に書きたる手紙かな
58,山焼や賽の河原へ火のびたり
59,白雲や雪解の沢へうつる空
60,雪消えて麦一寸の野づらかな
61,雪解や渡舟に馬のおとなしき
62,つやゝかに蔓の実さがる雪解かな
63,雪解川名山けづる響かな
64,雪汁のしの字に曲るかきねかな
65,川鴉雪しろ水をふるひけり
66,かうかうと雪代が目に眠られず
67,掘りおこす人の屍や雪なだれ
68,雪なだれ妻は炉辺に居眠れり
69,青天に音を消したる雪崩かな
70,北山やしざりしざりて残る雪
71,一枚の餅のごとくに雪残る
72,雪残る汚れ／ ＼て石のごと
73,草茎を包む葉もなき雪間かな
74,春いまだ田毎の雪間／ ＼かな
75,馬の尾をむすび揚げたる雪間かな
76,凍どけや梅にわかれて回り道
77,凍解の径光りそむ行手かな
78,凍解のはじまる土のにぎやかに
79,葭の根をめぐりて解る氷かな
80,解けて浮く氷のかげや水の底
81,氷江のとけてながれて藍ぼかし
82,うすらひやわづかに咲ける芹の花
83,せりせりと薄氷杖のなすままに
84,薄氷の裏を舐めては金魚沈む
85,凍返る養魚池の風日もすがら
86,三日月はそるぞ寒はさえかへる
87,冴返る音や霰の十粒程
88,いくたびか死におくれし身冴返る
89,池田から炭くれし春の寒さかな
90,はる寒く葱の折ふす畠かな
91,春寒く咳入る人形つかひかな
92,春寒やぶつかり歩く盲犬
93,月走る雲はしる春の寒さかな
94,關の戸の火鉢ちひさき余寒かな
95,底たゝく音や余寒の炭俵
96,鎌倉を驚かしたる余寒あり
97,蒲団着て手紙書くなり春の風邪
98,病にも色あらば黄や春の風邪
99,春風邪をひいて紫じみてゐる
100,母の忌や其日の如く春時雨
101,広野行く幾春時雨幾夕立
102,春驟雨木馬小暗く廻り出す
103,猫の恋やむとき閨の朧月
104,濡れて来し雨をふるふや猫の妻
105,転び落し音して止みぬ猫の恋
106,むさし野や只一つ家のうかれ猫
107,恋猫の恋する猫で押し通す
108,明ぼのやしら魚白きこと一寸
109,白魚をふるひ寄せたる四ツ手かな
110,白魚の小さき顔をもてりけり
111,時を得たりめめざこ迄も桜魚
112,公魚のよるさゞなみか降る雪に
113,汐早し鱵おくるゝごとくなり
114,桟橋の灯にうちこゞみ鱵汲む
115,ちりやすくあつまりやすく鱵らは
116,魞挿しや菰の古江に舟入れて
117,魞挿しや遠つならりに鳰のむれ
118,魞挿しや陸の雪景日に穢れ
119,野とゝもに焼る地蔵のしきみかな
120,遠野火や寂しき友と手をつなぐ
121,野を焼くや棚曇りして二三日
122,庭さきの焼かれし芝を踏みて訪ふ
123,久米の子ら更衣の野を焼ける見ゆ
124,しのゝめに小雨降出す焼野かな
125,川越て鳥の見てゐる焼野かな
126,赤き雲焼野のはてにあらはれぬ
127,山焼の明りに下る夜舟かな
128,竿のものとりこむ母に遠山火
129,山焼く火檜原に来ればまのあたり
130,山焼やぽつり／ ＼と宵の雨
131,四方より攻めるが如く樹海焼く
132,焼山や嵩そのまゝに歯朶の容
133,焼山のぽち／＼はぜる夜もすがら
134,焼山の夕べ淋しや知らぬ鳥
135,暁の雨やすぐろの薄はら
136,ぬれ鶴やす黒の薄分けて行く
137,雨となる末黒芒に火の匂ひ
138,麦踏に足の湯とるや三日の月
139,麦踏の常の歩みに畑を出づ
140,歩み来し人麦踏をはじめけり
141,ひとたびは捨てたる故郷麦を踏む
142,麦踏みのまたはるかなるものめざす
143,櫟植う我に十年の寿あるべし
144,畚の物木の実を植うる翁かな
145,浅間嶺の雲に乗る鳥木の実植う
146,猫柳風に光りて銀ねずみ
147,草の戸にふやけて咲くや猫柳
148,猫柳高嶺は雪をあらたにす
149,猫柳日輪にふれ膨らめる
150,ときをりの水のささやき猫柳
151,片栗の一つの花の花盛り
152,かたくりの花咲き雪はもう降らぬ
153,かたくりは耳のうしろを見せる花
154,デージーは星の雫に息づける
155,踏みて直ぐデージーの花起き上る
156,小さき鉢に取りて雛菊鮮かに
157,春菊に身寄少なき忌日かな
158,春菊や足袋に二重の皺が出来
159,春菊や根分もせずに咲出る
160,しをらしや細茎赤きはうれん草
161,早春や老の血となるはうれん草
162,あを／＼と菠薐草の雪間かな
163,蕗のとうほうけて人の詠いかな
164,蕗の薹や垣結ふ縄のひとまろげ
165,道ばたの義経神社蕗の薹
166,蕗の薹岩間の土にひきしまる
167,春雪の忽ち溶けぬ水菜畑
168,京菜洗ふ青き冷たさ歌うたふ
169,むつくりと覚る京の水菜哉
170,わりなしや海苔に纏めるうつせ貝
171,衰ひや歯に喰ひあてし海苔の砂
172,行く水や何にとゞまるのりの味
173,春寒し一朶の海苔は流れ行く
174,海苔舟に花の雲あり紀三井寺
175,青海苔や石の窪みのわすれ汐
176,青海苔や水にさしこむ日の光
177,棹突きし其処も青海苔隅田川
178,獺の祭見て来よ瀬田のおく
179,獺の祭すむとき雨はるゝ
180,茶器どもを獺の祭の並べ方
181,尼寺に小句会あり鳴雪忌
182,鳴雪忌湯婆の一句妻も知る
183,子規知らぬコカコーラ飲む鳴雪忌
184,梅若菜まりこの宿のとろゝ汁
185,むめ一輪一りんほどのあたゝかさ
186,しん／＼と梅散りかかる庭火かな
187,二もとの梅に遅速を愛すかな
188,馬の子の家にかへるや梅寒し
189,百姓の煙草は臭し梅の花
190,藪尻の賽銭箱や梅の花
191,垣越に梅折る人や明屋敷
192,小僧皆士の子や梅の寺
193,我れ去れば水も寂しや谷の梅
194,臥龍梅磴は畳みに畳みたる
195,銀婚の式はせずとも軒の梅
196,たゞよへる梅のにほひの土の上
197,梅挿してマリアの白は奥深し
198,梅ひらく羅宇屋の笛の二タ音色
199,御秘蔵に墨を摺らせて梅見哉
200,さむしろを畠に敷て梅見かな
201,梅見婆はしよれる裾の派手模様
202,盆梅の枝みな立ちて蕾かな
203,盆梅のしだれし枝の数へられ
