ID,Haiku,Tokens,IDs
1,春も早山吹白く苣苦し,"['春/ハル/春/名詞', 'も/モ/も/助詞', '早い/ハヤイ/早い/形容詞', '山吹/ヤマブキ/山吹/名詞', '白い/シロイ/白い/形容詞', '苣苦/苣苦/苣苦/名詞', '為る/ナル/する/動詞']","[10, 11, 12, 13, 14, 15, 16]"
2,山寺の春や仏に水仙花,"['山寺/ヤマデラ/山寺/名詞', 'の/ノ/の/助詞', '春/ハル/春/名詞', 'や/ヤ/や/助詞', '仏/フツ/仏/名詞', 'に/ニ/に/助詞', '水仙花/スイセンハナ/水仙花/名詞']","[17, 18, 10, 19, 20, 21, 22]"
3,門口に風呂たく春のとまりかな,"['門口/カドグチ/門口/名詞', 'に/ニ/に/助詞', '風呂/フロ/風呂/名詞', 'たい/タイ/たい/助動詞', '春/ハル/春/名詞', 'の/ノ/の/助詞', 'とまり/トマリ/とまり/名詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[23, 21, 24, 25, 10, 18, 26, 27, 28]"
4,雪の絵を春も掛けたる埃かな,"['雪/ユキ/雪/名詞', 'の/ノ/の/助詞', '絵/エ/絵/名詞', 'を/ヲ/を/助詞', '春/ハル/春/名詞', 'も/モ/も/助詞', '掛ける/カケル/掛ける/動詞', 'たり/タリ/たり/助動詞', '埃/ホコリ/埃/名詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[29, 18, 30, 31, 10, 11, 32, 33, 34, 27, 28]"
5,起重機の手挙げて立てり海は春,"['起重/キジュー/起重/名詞', '機/キ/機/名詞', 'の/ノ/の/助詞', '手/テ/手/名詞', '上げる/アゲル/挙げる/動詞', 'て/テ/て/助詞', '立てる/タテル/立てる/動詞', 'り/リ/り/助動詞', '海/ウミ/海/名詞', 'は/ワ/は/助詞', '春/ハル/春/名詞']","[35, 36, 18, 37, 38, 39, 40, 41, 42, 43, 10]"
6,娘にゆづる櫛笄や花の春,"['娘/ムスメ/娘/名詞', 'に/ニ/に/助詞', '譲る/ユズル/ゆづる/動詞', '櫛笄/クシコーガイ/櫛笄/名詞', 'や/ヤ/や/助詞', '花/ハナ/花/名詞', 'の/ノ/の/助詞', '春/ハル/春/名詞']","[44, 21, 45, 46, 19, 47, 18, 10]"
7,草の戸にひとり男や花の春,"['草/クサ/草/名詞', 'の/ノ/の/助詞', '戸/ト/戸/名詞', 'に/ニ/に/助詞', '一人/ヒトリ/ひとり/名詞', '男/オトコ/男/名詞', 'や/ヤ/や/助詞', '花/ハナ/花/名詞', 'の/ノ/の/助詞', '春/ハル/春/名詞']","[48, 18, 49, 21, 50, 51, 19, 47, 18, 10]"
8,ジプシーに占はせをり窓の春,"['ジプシー/ジプシー/ジプシー/名詞', 'に/ニ/に/助詞', '占い/ウラナイ/占/名詞', 'は/ワ/は/助詞', '為る/ナル/する/動詞', '居る/イル/をり/動詞', '窓/マド/窓/名詞', 'の/ノ/の/助詞', '春/ハル/春/名詞']","[52, 21, 53, 43, 16, 54, 55, 18, 10]"
9,筆を噛んでいまだ書かざる妹の春,"['筆/フデ/筆/名詞', 'を/ヲ/を/助詞', '噛む/カム/噛む/動詞', 'で/デ/で/助詞', '未だ/イマダ/いまだ/副詞', '書く/カク/書く/動詞', 'ず/ズ/ず/助動詞', '妹/イモート/妹/名詞', 'の/ノ/の/助詞', '春/ハル/春/名詞']","[56, 31, 57, 58, 59, 60, 3, 61, 18, 10]"
10,寝ごゝろやいづちともなく春は来ぬ,"['寝る/ネル/寝る/動詞', '御/オ/ご/接頭辞', '頃/コロ/ごろ/名詞', 'やい/ヤイ/やい/感動詞', '土/ツチ/づち/名詞', 'と/ト/と/助詞', 'も/モ/も/助詞', '無い/ナイ/ない/形容詞', '春/ハル/春/名詞', 'は/ワ/は/助詞', '来る/クル/来る/動詞', 'ず/ズ/ぬ/助動詞']","[62, 63, 64, 65, 66, 67, 11, 68, 10, 43, 69, 70]"
11,何事もなくて春たつあしたかな,"['何事/ナニゴト/何事/名詞', 'も/モ/も/助詞', '無い/ナイ/ない/形容詞', 'て/テ/て/助詞', '春/ハル/春/名詞', 'たつ/タツ/たつ/動詞', '明日/アシタ/あした/名詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[71, 11, 68, 39, 10, 72, 73, 27, 28]"
12,春立つや愚の上に又愚にかへる,"['春/ハル/春/名詞', '立つ/タツ/立つ/動詞', 'や/ヤ/や/助詞', '愚/グ/愚/名詞', 'の/ノ/の/助詞', '上/ウエ/上/名詞', 'に/ニ/に/助詞', '又/マタ/又/副詞', '愚/グ/愚/名詞', 'に/ニ/に/助詞', 'かえる/カエル/かへる/動詞']","[10, 74, 19, 75, 18, 76, 21, 77, 75, 21, 78]"
13,春立つや昼の灯くらき山社,"['春/ハル/春/名詞', '立つ/タツ/立つ/動詞', 'や/ヤ/や/助詞', '昼/ヒル/昼/名詞', 'の/ノ/の/助詞', '明かり/アカリ/灯/名詞', '繰る/クル/くる/動詞', 'き/キ/き/助動詞', '山/ヤマ/山/名詞', '社/シャ/社/名詞']","[10, 74, 19, 79, 18, 80, 81, 82, 83, 84]"
14,さゞ波は立春の譜をひろげたり,"['細波/サザナミ/さざ波/名詞', 'は/ワ/は/助詞', '立春/リッシュン/立春/名詞', 'の/ノ/の/助詞', '譜/フ/譜/名詞', 'を/ヲ/を/助詞', '広げる/ヒロゲル/ひろげる/動詞', 'たり/タリ/たり/助詞']","[85, 43, 86, 18, 87, 31, 88, 89]"
15,オリヲンの真下春立つ雪の宿,"['オリヲン/オリヲン/オリヲン/名詞', 'の/ノ/の/助詞', '真下/マシモ/真下/名詞', '春/ハル/春/名詞', '立つ/タツ/立つ/動詞', '雪/ユキ/雪/名詞', 'の/ノ/の/助詞', '宿/ヤド/宿/名詞']","[90, 18, 91, 10, 74, 29, 18, 92]"
16,春立つやそゞろ心の火桶抱く,"['春/ハル/春/名詞', '立つ/タツ/立つ/動詞', 'や/ヤ/や/助詞', '漫ろ/ソゾロ/そぞろ/形状詞', '心/ココロ/心/名詞', 'の/ノ/の/助詞', '火桶/ヒオケ/火桶/名詞', '抱く/イダク/抱く/動詞']","[10, 74, 19, 93, 94, 18, 95, 96]"
17,立春の鳶しばしあり殿づくり,"['立春/リッシュン/立春/名詞', 'の/ノ/の/助詞', '鳶/トンビ/鳶/名詞', '暫し/シバシ/しばし/副詞', '有る/アル/ある/動詞', '殿作り/シンガリズクリ/殿づくり/名詞']","[86, 18, 97, 98, 99, 100]"
18,かかる夜の雨に春立つ谷明り,"['斯かる/カカル/かかる/連体詞', '夜/ヨル/夜/名詞', 'の/ノ/の/助詞', '雨/アメ/雨/名詞', 'に/ニ/に/助詞', '春/ハル/春/名詞', '立つ/タツ/立つ/動詞', '谷/タニ/谷/名詞', '明かり/アカリ/明り/名詞']","[101, 102, 18, 103, 21, 10, 74, 104, 105]"
19,春が来て電柱の体鳴りこもる,"['春/ハル/春/名詞', 'が/ガ/が/助詞', '来る/クル/来る/動詞', 'て/テ/て/助詞', '電柱/デンチュー/電柱/名詞', 'の/ノ/の/助詞', '体/カラダ/体/名詞', '鳴る/ナル/鳴る/動詞', '籠もる/コモル/こもる/動詞']","[10, 106, 69, 39, 107, 18, 108, 109, 110]"
20,元日の酔詫に来る二月かな,"['元日/ガンジツ/元日/名詞', 'の/ノ/の/助詞', '酔い/ヨイ/酔/名詞', '詫び/ワビ/詫/名詞', 'に/ニ/に/助詞', '来る/クル/来る/動詞', '2/ニ/二/名詞', '月/ツキ/月/名詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[111, 18, 112, 113, 21, 69, 114, 115, 27, 28]"
21,栴檀のほろ／＼落る二月かな,"['栴檀/センダン/栴檀/名詞', 'の/ノ/の/助詞', 'ほろ/ホロ/ほろ/副詞', '//／///補助記号', '\\/￥/\\/補助記号', '落ち/オチ/落/名詞', 'り/リ/り/助動詞', '2/ニ/二/名詞', '月/ツキ/月/名詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[116, 18, 117, 118, 119, 120, 41, 114, 115, 27, 28]"
22,面体をつゝめど二月役者かな,"['面体/メンテー/面体/名詞', 'を/ヲ/を/助詞', '包む/ツツム/つつめる/動詞', 'ど/ド/ど/助詞', '2/ニ/二/名詞', '月/ツキ/月/名詞', '役者/ヤクシャ/役者/名詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[121, 31, 122, 123, 114, 115, 124, 27, 28]"
23,切株に鶯とまる二月かな,"['切り株/キリカブ/切株/名詞', 'に/ニ/に/助詞', '鶯/ウグイス/鶯/名詞', 'と/ト/と/助詞', '丸/マル/まる/接頭辞', '2/ニ/二/名詞', '月/ツキ/月/名詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[125, 21, 126, 67, 127, 114, 115, 27, 28]"
24,川添ひの片頬つめたき二月かな,"['川添/カワゾエ/川添/名詞', 'ひ/ヒ/ひ/名詞', 'の/ノ/の/助詞', '片頬/カタホー/片頬/名詞', '冷たい/ツメタイ/つめたし/形容詞', '2/ニ/二/名詞', '月/ツキ/月/名詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[128, 129, 18, 130, 131, 114, 115, 27, 28]"
25,六十の寒が明けたる許りなり,"['60/ロクジュー/六十/名詞', 'の/ノ/の/助詞', '寒/サム/寒/名詞', 'が/ガ/が/助詞', '明け/アケ/明け/名詞', 'たり/タリ/たり/助動詞', 'ばかり/バカリ/許り/助詞', 'なり/ナリ/なり/助動詞']","[132, 18, 133, 106, 134, 33, 135, 136]"
26,寒明や野山の色の自ラ,"['寒/サム/寒/名詞', '明/アキラ/明/名詞', 'や/ヤ/や/助詞', '野山/ノヤマ/野山/名詞', 'の/ノ/の/助詞', '色/イロ/色/名詞', 'の/ノ/の/助詞', '自ら/ミズカラ/自ラ/名詞']","[133, 137, 19, 138, 18, 139, 18, 140]"
27,寒明けの臥てあやす子は胸の上,"['寒明け/カンアケ/寒明け/名詞', 'の/ノ/の/助詞', '臥せる/フセル/臥る/動詞', 'て/テ/て/助詞', 'あー/アー/あ/感動詞', 'やす子/ヤスコ/やす子/名詞', 'は/ワ/は/助詞', '胸/ムネ/胸/名詞', 'の/ノ/の/助詞', '上/ウエ/上/名詞']","[141, 18, 142, 39, 143, 144, 43, 145, 18, 76]"
28,寒明けの街や雄牛が声押し出す,"['寒明け/カンアケ/寒明け/名詞', 'の/ノ/の/助詞', '街/マチ/街/名詞', 'や/ヤ/や/助詞', '雄牛/オウシ/雄牛/名詞', 'が/ガ/が/助詞', '声/コエ/声/名詞', '押す/オス/押す/動詞', '出す/ダス/出す/動詞']","[141, 18, 146, 19, 147, 106, 148, 149, 150]"
29,寒明けやひたぶるに濃き唇の紅,"['寒明け/カンアケ/寒明け/名詞', 'や/ヤ/や/助詞', 'ひたぶる/ヒタブル/ひたぶる/形状詞', 'だ/ダ/だ/助動詞', '濃い/コイ/濃い/形容詞', 'き/キ/き/助動詞', '唇/クチビル/唇/名詞', 'の/ノ/の/助詞', '紅/ベニ/紅/名詞']","[141, 19, 151, 9, 152, 82, 153, 18, 154]"
30,枯れ枝に初春の雨の玉円か,"['枯れ枝/カレエダ/枯れ枝/名詞', 'に/ニ/に/助詞', '初春/ショシュン/初春/名詞', 'の/ノ/の/助詞', '雨/アメ/雨/名詞', 'の/ノ/の/助詞', '玉/タマ/玉/名詞', '円か/エンカ/円か/形状詞']","[155, 21, 156, 18, 103, 18, 157, 158]"
31,初春の二時うつ島の旅館かな,"['初春/ショシュン/初春/名詞', 'の/ノ/の/助詞', '2/ニ/二/名詞', '時/トキ/時/名詞', '鬱/ウツ/うつ/名詞', '島/シマ/島/接尾辞', 'の/ノ/の/助詞', '旅館/リョカン/旅館/名詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[156, 18, 114, 159, 160, 161, 18, 162, 27, 28]"
32,早春の流水早し猫柳,"['早春/ソーシュン/早春/名詞', 'の/ノ/の/助詞', '流水/リュースイ/流水/名詞', '早い/ハヤイ/早し/形容詞', '猫柳/ネコヤナギ/猫柳/名詞']","[163, 18, 164, 165, 166]"
33,早春や室内楽に枯木なほ,"['早春/ソーシュン/早春/名詞', 'や/ヤ/や/助詞', '室内/シツナイ/室内/名詞', '楽/ラク/楽/名詞', 'だ/ダ/だ/助動詞', '枯れ木/カレキ/枯木/名詞', 'だ/ダ/だ/助動詞', 'ほっ/ホッ/ほ/感動詞']","[163, 19, 167, 168, 9, 169, 9, 170]"
34,早春や吾も鴉もひそひそと,"['早春/ソーシュン/早春/名詞', 'や/ヤ/や/助詞', '我/ワレ/吾/代名詞', 'も/モ/も/助詞', '烏/カラス/鴉/名詞', 'も/モ/も/助詞', 'ひそひそ/ヒソヒソ/ひそひそ/副詞', 'と/ト/と/助詞']","[163, 19, 171, 11, 172, 11, 173, 67]"
35,病床の匂袋や浅き春,"['病床/ビョーショー/病床/名詞', 'の/ノ/の/助詞', '匂袋/ニオイブクロ/匂袋/名詞', 'や/ヤ/や/助詞', '浅い/アサイ/浅し/形容詞', '春/ハル/春/名詞']","[174, 18, 175, 19, 176, 10]"
36,春浅き水を渡るや鷺一つ,"['春/ハル/春/名詞', '浅い/アサイ/浅し/形容詞', '水/ミズ/水/名詞', 'を/ヲ/を/助詞', '渡る/ワタル/渡る/動詞', 'や/ヤ/や/助詞', '鷺/サギ/鷺/名詞', '1/イチ/一/名詞', 'つ/ツ/つ/接尾辞']","[10, 176, 177, 31, 178, 19, 179, 180, 181]"
37,木より木にかよへる風の春浅き,"['木/キ/木/名詞', 'より/ヨリ/より/助詞', '木/キ/木/名詞', 'に/ニ/に/助詞', 'か/カ/か/助詞', 'よ/ヨ/よ/助詞', '減る/ヘル/へる/動詞', '風/カゼ/風/名詞', 'の/ノ/の/助詞', '春/ハル/春/名詞', '浅い/アサイ/浅し/形容詞']","[182, 183, 182, 21, 27, 184, 185, 186, 18, 10, 176]"
38,罷出たものは物ぐさ太郎月,"['罷出/マカリデ/罷出/名詞', 'た/タ/た/助動詞', '物/モノ/もの/名詞', 'は/ワ/は/助詞', '物臭/モノグサ/物ぐさ/形状詞', '太郎/タロー/太郎/名詞', '月/ツキ/月/名詞']","[187, 188, 189, 43, 190, 191, 115]"
